,module,function,count
0,arithmetic,addition,316
1,arithmetic,multiplication,239
2,arithmetic,subtraction,177
3,arithmetic,division,138
4,arithmetic,floor_division,37
6,arithmetic,modulo,35
9,arithmetic,power,6
11,arithmetic,bitwise_and,5
13,arithmetic,matrix_multiplication,4
48,arithmetic,bitwise_or,1
7,np,linalg.norm,32
10,np,linalg.inv,5
15,np,linalg.eig,3
16,np,linalg.solve,3
19,np,random.RandomState,3
40,np,random.randn,1
41,np,random.normal,1
42,np,random.default_rng,1
43,np,ma.sum,1
44,np,ma.max,1
45,np,ma.average,1
46,np,ma.array,1
47,np,linalg.cond,1
5,numpy,np,35
12,numpy,sqrt,5
17,numpy,sin,3
18,numpy,cos,3
34,numpy,ndarray,1
38,numpy,pi,1
39,numpy,default_rng,1
36,numpy.random,default_rng,1
37,numpy.random,Generator,1
14,scipy,KDTree,4
23,scipy,gaussian_filter,2
30,scipy,signal.convolve,1
31,scipy,scipy,1
33,scipy,ndimage.gaussian_filter,1
35,scipy,KDTree.query,1
25,scipy.ndimage,scipy.ndimage,1
27,scipy.ndimage,gaussian_filter,1
20,scipy.spatial,KDTree,2
8,scipy.spatial.transform,Rotation,13
24,scipy.spatial.transform,rot,1
21,sklearn,KDTree.query,2
22,sklearn,KDTree,2
26,sklearn,LabelEncoder,1
28,sklearn,kneighbors_graph,1
29,sklearn.neighbors,KDTree,1
32,sklearn.neighbors,kneighbors_graph,1
49,sklearn.preprocessing,LabelEncoder,1
